rk,squad,mp,w,d,l,gf,ga,gd,pts,season,fetched_date,week_no
1,Arsenal,11,8,2,1,20,5,15,26,2025-2026,2025-11-10,46
2,Manchester City,11,7,1,3,23,8,15,22,2025-2026,2025-11-10,46
3,Chelsea,11,6,2,3,21,11,10,20,2025-2026,2025-11-10,46
4,Sunderland,11,5,4,2,14,10,4,19,2025-2026,2025-11-10,46
5,Tottenham Hotspur,11,5,3,3,19,10,9,18,2025-2026,2025-11-10,46
6,Aston Villa,11,5,3,3,13,10,3,18,2025-2026,2025-11-10,46
7,Manchester United,11,5,3,3,19,18,1,18,2025-2026,2025-11-10,46
8,Liverpool,11,6,0,5,18,17,1,18,2025-2026,2025-11-10,46
9,Bournemouth,11,5,3,3,17,18,-1,18,2025-2026,2025-11-10,46
10,Crystal Palace,11,4,5,2,14,9,5,17,2025-2026,2025-11-10,46
11,Brighton & Hove Albion,11,4,4,3,17,15,2,16,2025-2026,2025-11-10,46
12,Brentford,11,5,1,5,17,17,0,16,2025-2026,2025-11-10,46
13,Everton,11,4,3,4,12,13,-1,15,2025-2026,2025-11-10,46
14,Newcastle United,11,3,3,5,11,14,-3,12,2025-2026,2025-11-10,46
15,Fulham,11,3,2,6,12,16,-4,11,2025-2026,2025-11-10,46
16,Leeds United,11,3,2,6,10,20,-10,11,2025-2026,2025-11-10,46
17,Burnley,11,3,1,7,14,22,-8,10,2025-2026,2025-11-10,46
18,West Ham United,11,3,1,7,13,23,-10,10,2025-2026,2025-11-10,46
19,Nottingham Forest,11,2,3,6,10,20,-10,9,2025-2026,2025-11-10,46
20,Wolverhampton Wanderers,11,0,2,9,7,25,-18,2,2025-2026,2025-11-10,46
